pool_frac,seed,n_served,n_requests,frac_pqc
0.8022222222222223,26,3,3,0.3333333333333333
0.8022222222222223,27,3,3,0.0
0.8022222222222223,28,3,3,1.0
0.8022222222222223,29,3,3,0.3333333333333333
0.7044444444444444,0,3,3,0.3333333333333333
0.7044444444444444,1,3,3,0.3333333333333333
0.7044444444444444,2,3,3,0.3333333333333333
0.7044444444444444,3,3,3,1.0
0.7044444444444444,4,3,3,0.6666666666666666
0.7044444444444444,5,3,3,0.3333333333333333
0.7044444444444444,6,3,3,0.3333333333333333
0.7044444444444444,7,3,3,0.0
0.7044444444444444,8,3,3,0.0
0.7044444444444444,9,3,3,0.6666666666666666
0.7044444444444444,10,3,3,0.3333333333333333
0.7044444444444444,11,3,3,0.3333333333333333
0.7044444444444444,12,3,3,0.6666666666666666
0.7044444444444444,13,3,3,1.0
0.7044444444444444,14,3,3,0.6666666666666666
0.7044444444444444,15,3,3,0.6666666666666666
0.7044444444444444,16,3,3,0.6666666666666666
0.7044444444444444,17,3,3,0.0
0.7044444444444444,18,3,3,0.3333333333333333
0.7044444444444444,19,3,3,0.3333333333333333
0.7044444444444444,20,3,3,0.0
0.7044444444444444,21,3,3,0.6666666666666666
0.7044444444444444,22,3,3,0.3333333333333333
0.7044444444444444,23,3,3,0.0
0.7044444444444444,24,3,3,1.0
0.7044444444444444,25,3,3,0.3333333333333333
0.7044444444444444,26,3,3,0.3333333333333333
0.7044444444444444,27,3,3,0.0
0.7044444444444444,28,3,3,1.0
0.7044444444444444,29,3,3,0.3333333333333333
0.6066666666666667,0,3,3,0.3333333333333333
0.6066666666666667,1,3,3,0.6666666666666666
0.6066666666666667,2,3,3,0.3333333333333333
0.6066666666666667,3,3,3,1.0
0.6066666666666667,4,3,3,1.0
0.6066666666666667,5,3,3,0.6666666666666666
0.6066666666666667,6,3,3,0.6666666666666666
0.6066666666666667,7,3,3,0.3333333333333333
0.6066666666666667,8,3,3,0.3333333333333333
0.6066666666666667,9,3,3,0.6666666666666666
0.6066666666666667,10,3,3,0.6666666666666666
0.6066666666666667,11,3,3,0.6666666666666666
0.6066666666666667,12,3,3,0.6666666666666666
0.6066666666666667,13,3,3,1.0
0.6066666666666667,14,3,3,0.6666666666666666
0.6066666666666667,15,3,3,0.6666666666666666
0.6066666666666667,16,3,3,0.6666666666666666
0.6066666666666667,17,3,3,1.0
0.6066666666666667,18,3,3,0.6666666666666666
0.6066666666666667,19,3,3,0.6666666666666666
0.6066666666666667,20,3,3,0.0
0.6066666666666667,21,3,3,1.0
0.6066666666666667,22,3,3,0.3333333333333333
0.6066666666666667,23,3,3,0.0
0.6066666666666667,24,3,3,1.0
0.6066666666666667,25,3,3,0.6666666666666666
0.6066666666666667,26,3,3,0.3333333333333333
0.6066666666666667,27,3,3,0.0
0.6066666666666667,28,3,3,1.0
