seed,solver,objective,runtime_s,violations,approximation_ratio
25,QAOA(p=2),1.1666574184929175,4.362537909997627,0,1.0
26,Exact,0.8827942592938598,0.0026644150057109073,0,1.0
26,Greedy,0.8827942592938598,6.006199691910297e-05,0,1.0
26,MILP,0.8827942592938598,0.001541482997708954,0,1.0
26,SimulatedAnnealing,0.8827942592938598,0.0227722910058219,0,1.0
26,Q-Learning,0.8827942592938598,0.056620898001710884,0,1.0
26,QAOA(p=2),1.847395243645721,4.4886446699965745,0,2.0926679395530257
27,Exact,1.3702885603447612,0.0023173299996415153,0,1.0
27,Greedy,1.3702885603447612,2.5298999389633536e-05,0,1.0
27,MILP,1.3702885603447612,0.001438448001863435,0,1.0
27,SimulatedAnnealing,1.3702885603447612,0.0158656260027783,0,1.0
27,Q-Learning,1.3702885603447612,0.063944059991627,0,1.0
27,QAOA(p=2),1.4269444431566853,4.861141780987964,0,1.0413459503724307
28,Exact,0.6884333484754137,0.0022373190004145727,0,1.0
28,Greedy,0.6884333484754137,2.579900319688022e-05,0,1.0
28,MILP,0.6884333484754137,0.0013044520019320771,0,1.0
28,SimulatedAnnealing,0.6884333484754137,0.01540973199007567,0,1.0
28,Q-Learning,0.6884333484754137,0.05503630999010056,0,1.0
28,QAOA(p=2),0.6884333484754137,3.6189989160047844,0,1.0
29,Exact,1.1292285925871397,0.002589005001937039,0,1.0
29,Greedy,1.1292285925871397,2.3316009901463985e-05,0,1.0
29,MILP,1.1292285925871397,0.0011959050025325269,0,1.0
29,SimulatedAnnealing,1.1292285925871397,0.012112765994970687,0,1.0
29,Q-Learning,1.1292285925871397,0.049382780998712406,0,1.0
29,QAOA(p=2),1.1292285925871397,4.3175244150043,0,1.0
