seed,attack_intensity,condition,availability,security_compliance,mean_risk_of_solution
3,0.75,Static,1.0,1.0,0.06584271342409873
3,0.75,TrustOnly,1.0,1.0,0.37310870940322616
3,0.75,QOPT_Oracle,1.0,1.0,0.06549303673820739
3,0.75,QOPT_QTRACE,1.0,1.0,0.06889289443264195
3,0.875,Static,1.0,1.0,0.07250667793390041
3,0.875,TrustOnly,1.0,1.0,0.4108711749587689
3,0.875,QOPT_Oracle,1.0,1.0,0.07323489587616812
3,0.875,QOPT_QTRACE,1.0,1.0,0.07434380625069407
3,1.0,Static,1.0,1.0,0.08539981498302633
3,1.0,TrustOnly,1.0,1.0,0.4839322849038159
3,1.0,QOPT_Oracle,1.0,1.0,0.08543125182266381
3,1.0,QOPT_QTRACE,1.0,1.0,0.08360989362559598
4,0.0,Static,1.0,1.0,0.08344669203270302
4,0.0,TrustOnly,1.0,0.75,0.02200132436914843
4,0.0,QOPT_Oracle,1.0,1.0,0.08344669203270302
4,0.0,QOPT_QTRACE,1.0,1.0,0.08352294399931454
4,0.125,Static,1.0,1.0,0.10866370483925988
4,0.125,TrustOnly,1.0,0.75,0.028816336305183928
4,0.125,QOPT_Oracle,1.0,1.0,0.06728010360823442
4,0.125,QOPT_QTRACE,1.0,1.0,0.060890442107605934
4,0.25,Static,1.0,1.0,0.1386909096097572
4,0.25,TrustOnly,1.0,0.75,0.035430731990054545
4,0.25,QOPT_Oracle,1.0,1.0,0.08752458058715085
4,0.25,QOPT_QTRACE,1.0,1.0,0.07579520461676797
4,0.375,Static,1.0,1.0,0.17634886274595735
4,0.375,TrustOnly,1.0,0.75,0.045469616565306896
4,0.375,QOPT_Oracle,1.0,1.0,0.10077132409641879
4,0.375,QOPT_QTRACE,1.0,1.0,0.09744873813037905
4,0.5,Static,1.0,1.0,0.20240017431708943
4,0.5,TrustOnly,1.0,0.75,0.05254559823242998
4,0.5,QOPT_Oracle,1.0,1.0,0.11494208715017927
4,0.5,QOPT_QTRACE,1.0,1.0,0.114165606196903
4,0.625,Static,1.0,1.0,0.2253743202019426
4,0.625,TrustOnly,1.0,1.0,0.3437118485489544
4,0.625,QOPT_Oracle,1.0,1.0,0.12768474376713612
4,0.625,QOPT_QTRACE,1.0,1.0,0.12011147212248635
4,0.75,Static,1.0,1.0,0.2582220582556479
4,0.75,TrustOnly,1.0,1.0,0.3806435634676344
4,0.75,QOPT_Oracle,1.0,1.0,0.14551529623397624
4,0.75,QOPT_QTRACE,1.0,1.0,0.13421753420786056
4,0.875,Static,1.0,1.0,0.2905920552659549
4,0.875,TrustOnly,1.0,1.0,0.42730486639993753
4,0.875,QOPT_Oracle,1.0,1.0,0.1649203266837214
4,0.875,QOPT_QTRACE,1.0,1.0,0.16694958149466912
4,1.0,Static,1.0,1.0,0.3221501924071854
4,1.0,TrustOnly,1.0,1.0,0.471479893221209
4,1.0,QOPT_Oracle,1.0,1.0,0.18041190129360832
4,1.0,QOPT_QTRACE,1.0,1.0,0.18041190129360832
5,0.0,Static,1.0,1.0,0.07428623793686974
5,0.0,TrustOnly,1.0,0.75,0.01945094172416868
5,0.0,QOPT_Oracle,1.0,1.0,0.07459004415173182
