noise_strength,seed,best_sampled_energy,approximation_ratio,success_probability
0.04,23,0.8099999999999943,0.9999999999999946,0.015625
0.08,23,0.8099999999999943,0.9999999999999946,0.01806640625
0.15,23,0.8099999999999943,0.9999999999999946,0.0185546875
0.25,23,0.8099999999999943,0.9999999999999946,0.015625
0.0,24,0.5640999999999963,0.9999999999999937,0.00732421875
0.005,24,0.5640999999999963,0.9999999999999937,0.00830078125
0.01,24,0.5640999999999963,0.9999999999999937,0.0078125
0.02,24,0.5640999999999963,0.9999999999999937,0.01318359375
0.04,24,0.5640999999999963,0.9999999999999937,0.01171875
0.08,24,0.5640999999999963,0.9999999999999937,0.01220703125
0.15,24,0.5640999999999963,0.9999999999999937,0.01611328125
0.25,24,0.5640999999999963,0.9999999999999937,0.01123046875
0.0,25,0.9648299999999965,1.4043082745069464,0.0
0.005,25,0.6870499999999966,0.9999999999999961,0.0029296875
0.01,25,0.6870499999999966,0.9999999999999961,0.0029296875
0.02,25,0.6870499999999966,0.9999999999999961,0.00732421875
0.04,25,0.6870499999999966,0.9999999999999961,0.0107421875
0.08,25,0.6870499999999966,0.9999999999999961,0.01123046875
0.15,25,0.6870499999999966,0.9999999999999961,0.01123046875
0.25,25,0.6870499999999966,0.9999999999999961,0.02294921875
0.0,26,0.6450499999999972,0.9999999999999966,0.02587890625
0.005,26,0.6450499999999972,0.9999999999999966,0.02783203125
0.01,26,0.6450499999999972,0.9999999999999966,0.0234375
0.02,26,0.6450499999999972,0.9999999999999966,0.0234375
0.04,26,0.6450499999999972,0.9999999999999966,0.01708984375
0.08,26,0.6450499999999972,0.9999999999999966,0.01611328125
0.15,26,0.6450499999999972,0.9999999999999966,0.01806640625
0.25,26,0.6450499999999972,0.9999999999999966,0.01611328125
0.0,27,0.8099999999999934,0.9999999999999934,0.0185546875
0.005,27,0.8099999999999934,0.9999999999999934,0.01513671875
0.01,27,0.8099999999999934,0.9999999999999934,0.0166015625
0.02,27,0.8099999999999934,0.9999999999999934,0.01416015625
0.04,27,0.8099999999999934,0.9999999999999934,0.01220703125
0.08,27,0.8099999999999934,0.9999999999999934,0.0146484375
0.15,27,0.8099999999999934,0.9999999999999934,0.01904296875
0.25,27,0.8099999999999934,0.9999999999999934,0.0126953125
0.0,28,0.4376999999999982,0.999999999999997,0.0302734375
0.005,28,0.4376999999999982,0.999999999999997,0.0244140625
0.01,28,0.4376999999999982,0.999999999999997,0.02392578125
0.02,28,0.4376999999999982,0.999999999999997,0.02197265625
0.04,28,0.4376999999999982,0.999999999999997,0.02197265625
0.08,28,0.4376999999999982,0.999999999999997,0.01611328125
0.15,28,0.4376999999999982,0.999999999999997,0.0185546875
0.25,28,0.4376999999999982,0.999999999999997,0.01416015625
0.0,29,0.8134499999999978,0.9999999999999978,0.0517578125
0.005,29,0.8134499999999978,0.9999999999999978,0.05126953125
0.01,29,0.8134499999999978,0.9999999999999978,0.04052734375
0.02,29,0.8134499999999978,0.9999999999999978,0.03125
0.04,29,0.8134499999999978,0.9999999999999978,0.025390625
0.08,29,0.8134499999999978,0.9999999999999978,0.0205078125
0.15,29,0.8134499999999978,0.9999999999999978,0.01513671875
0.25,29,0.8134499999999978,0.9999999999999978,0.01318359375
