attack_intensity,seed,availability,security_compliance,mean_key_pool_frac,mean_risk,frac_qkd,frac_pqc,frac_hybrid
0.9,4,1.0,1.0,0.1299869950764929,0.5189888712047742,0.0,0.75,0.25
0.9,5,1.0,1.0,0.17140963091022582,0.5216777661805697,0.0,0.75,0.25
0.9,6,1.0,1.0,0.16069562038557864,0.5162355131090159,0.0,0.75,0.25
0.9,7,1.0,1.0,0.15487534999730496,0.5093469511092064,0.25,0.5,0.25
0.9,8,1.0,1.0,0.1611030581161025,0.5152190567930527,0.0,0.5,0.5
0.9,9,1.0,1.0,0.1619359825337548,0.513742737837905,0.0,0.75,0.25
0.9,10,1.0,1.0,0.1610327448499747,0.5142143139258847,0.0,0.75,0.25
0.9,11,1.0,1.0,0.18563538611774524,0.5108835721430058,0.0,0.75,0.25
0.9,12,1.0,1.0,0.18538942871536224,0.5124143804217038,0.25,0.75,0.0
0.9,13,1.0,1.0,0.12256984629187176,0.5267607191384202,0.0,1.0,0.0
0.9,14,1.0,1.0,0.20264954129310028,0.5104408923919544,0.0,0.75,0.25
0.9,15,1.0,1.0,0.17125048774770169,0.5129073096357076,0.25,0.75,0.0
0.9,16,1.0,1.0,0.2040743383695997,0.5045439976598568,0.25,0.75,0.0
0.9,17,1.0,1.0,0.16950344530052622,0.5069042883468489,0.0,0.75,0.25
0.9,18,1.0,1.0,0.15671129404258058,0.5216207996636593,0.0,0.5,0.5
0.9,19,1.0,1.0,0.17303534741442322,0.5103556502813118,0.25,0.75,0.0
0.9,20,1.0,1.0,0.18642504044556155,0.5073997404142401,0.0,0.25,0.75
0.9,21,1.0,1.0,0.17220814182340766,0.5107950415702487,0.0,1.0,0.0
0.9,22,1.0,1.0,0.14951893637996472,0.5179817081806177,0.0,0.5,0.5
0.9,23,1.0,1.0,0.19429861302880252,0.5041828798052184,0.25,0.0,0.75
0.9,24,1.0,1.0,0.17534138723133733,0.5105283697470903,0.0,1.0,0.0
0.9,25,1.0,1.0,0.14664942291617739,0.5122313205408442,0.25,0.75,0.0
0.9,26,1.0,1.0,0.14041359468819348,0.5221443406399564,0.0,0.25,0.75
0.9,27,1.0,1.0,0.1798008650319251,0.5156871067914315,0.25,0.0,0.75
0.9,28,1.0,1.0,0.1856251436484499,0.5089780916875906,0.0,0.75,0.25
0.9,29,1.0,1.0,0.1395559798915314,0.5209252424346237,0.0,0.5,0.5
1.0,0,1.0,1.0,0.09159902512990944,0.5564534514044489,0.0,0.25,0.75
1.0,1,1.0,1.0,0.1147256471191879,0.5566420335248212,0.0,0.75,0.25
