topology,n_nodes,seed,n_qubits,solver,objective,runtime_s,violations,approximation_ratio
D,15,19,12,QAOA(p=2),1.3799720817434888,1.3896178459981456,0,1.0
D,15,20,12,Greedy,1.012149608037575,1.299199357163161e-05,0,1.0
D,15,20,12,MILP,1.012149608037575,0.0010452749993419275,0,1.0
D,15,20,12,SimulatedAnnealing,1.012149608037575,0.013595178999821655,0,1.0
D,15,20,12,Exact,1.012149608037575,0.0002924250002251938,0,1.0
D,15,20,12,QAOA(p=2),1.012149608037575,1.044934467994608,0,1.0
D,15,21,12,Greedy,0.8793089497810129,1.2775009963661432e-05,0,1.0
D,15,21,12,MILP,0.8793089497810129,0.0011121000134153292,0,1.0
D,15,21,12,SimulatedAnnealing,0.8793089497810129,0.013674179004738107,0,1.0
D,15,21,12,Exact,0.8793089497810129,0.00028885398933198303,0,1.0
D,15,21,12,QAOA(p=2),0.8793089497810129,1.188081649990636,0,1.0
D,15,22,12,Greedy,1.2084727841104552,1.3758006389252841e-05,0,1.0
D,15,22,12,MILP,1.2084727841104552,0.0011079539981437847,0,1.0
D,15,22,12,SimulatedAnnealing,1.2084727841104552,0.013030339003307745,0,1.0
D,15,22,12,Exact,1.2084727841104552,0.0003258150100009516,0,1.0
D,15,22,12,QAOA(p=2),1.263828568375871,1.1841653890005546,0,1.0458063971264049
D,15,23,12,Greedy,0.8933842208211473,1.750899537000805e-05,0,1.0
D,15,23,12,MILP,0.8933842208211473,0.000941624995903112,0,1.0
D,15,23,12,SimulatedAnnealing,0.8933842208211473,0.011701109004206955,0,1.0
D,15,23,12,Exact,0.8933842208211473,0.00025547700352035463,0,1.0
D,15,23,12,QAOA(p=2),0.8933842208211473,1.0665084699867293,0,1.0
D,15,24,12,Greedy,0.838703687791508,1.3520009815692902e-05,0,1.0
D,15,24,12,MILP,0.838703687791508,0.0010141740058315918,0,1.0
D,15,24,12,SimulatedAnnealing,0.838703687791508,0.011899399003596045,0,1.0
D,15,24,12,Exact,0.838703687791508,0.0002780479990178719,0,1.0
D,15,24,12,QAOA(p=2),0.838703687791508,1.3096156980027445,0,1.0
D,15,25,12,Greedy,0.8112548456869391,1.1822005035355687e-05,0,1.0
D,15,25,12,MILP,0.8112548456869391,0.001059993010130711,0,1.0
D,15,25,12,SimulatedAnnealing,0.8112548456869391,0.011815196994575672,0,1.0
D,15,25,12,Exact,0.8112548456869391,0.0003218720084987581,0,1.0
D,15,25,12,QAOA(p=2),0.8112548456869391,1.5315300460060826,0,1.0
D,15,26,12,Greedy,0.5060538717479588,1.1808995623141527e-05,0,1.0
D,15,26,12,MILP,0.5060538717479588,0.0010110060102306306,0,1.0
D,15,26,12,SimulatedAnnealing,0.5060538717479588,0.011694540007738397,0,1.0
D,15,26,12,Exact,0.5060538717479588,0.00025046900555025786,0,1.0
D,15,26,12,QAOA(p=2),0.5060538717479588,1.2458016379969195,0,1.0
D,15,27,12,Greedy,1.3571327066708818,2.777299960143864e-05,0,1.0
D,15,27,12,MILP,1.3571327066708818,0.0009582809871062636,0,1.0
D,15,27,12,SimulatedAnnealing,1.3571327066708818,0.012039962995913811,0,1.0
D,15,27,12,Exact,1.3571327066708818,0.00025948300026357174,0,1.0
